"Identifier","Answer","Question"
"guest1","1","Ist ein Leben ohne Digitalisierung, Medienkonsum und soziale Medien überhaupt noch möglich?"
"guest2","0","Nimmst du dir die Zeit Cookies auf Webseiten zu blockieren?"
"guest3","1","Wird die Schule zukünftig 100% papierlos sein?"
"guest4","0","Hast du schon mal ein Fake Profil erstellt?"
"guest5","1","Haben wir die Möglichkeit unsere Daten besser zu sichern?"
"guest6","0","Kann Digitalisierung zu mehr Nachhaltigkeit beitragen?"
"guest7","1","Gibt es Dinge, die der Algorithmus von dir weiß, deine Freund*innen aber nicht?"
"guest8","0","Ist der menschliche Verstand digitalisierbar?"
"guest9","1","Sind Emotionen berechenbar?"
"guest10","0","Sollte Digitalisierung Unterrichtsfach in der Schule werden?"
